pickup_zone,borough,total_trips,total_revenue,avg_revenue_per_trip,avg_distance
Mariners Harbor,Staten Island,3,429.85,143.28,12.57
Forest Park/Highland Park,Queens,17,422.87,24.87,3.18
Bronx Park,Bronx,8,382.07,47.76,7.43
New Dorp/Midland Beach,Staten Island,4,263.3,65.82,8.7
Stapleton,Staten Island,3,196.75,65.58,3.78
Green-Wood Cemetery,Brooklyn,2,130.32,65.16,10.44
City Island,Bronx,3,117.25,39.08,10.6
Rossville/Woodrow,Staten Island,2,98.7,49.35,11.42
Great Kills,Staten Island,1,61.8,61.8,17.5
Pelham Bay Park,Bronx,2,61.5,30.75,6.99
Westerleigh,Staten Island,2,53.95,26.98,7.09
Country Club,Bronx,2,50.58,25.29,3.89
Broad Channel,Queens,2,38.7,19.35,2.94
Rikers Island,Bronx,2,37.8,18.9,1.62
West Brighton,Staten Island,2,33.5,16.75,10.26
Jamaica Bay,Queens,1,29.0,29.0,6.56
Freshkills Park,Staten Island,1,4.5,4.5,0.03
